sort,species,replicate,use,type,branch,length_mm,stem_weight_mg*10,leaf_count,count_per_stem_length,diameter_base,diameter_top,notes,percent_shed,tip_weight_mg*10,leaf_weight_mg*10,image_file,total_leaf_area,area_per_leaf,area_per_stem_length
1000,HATE,,yes,,,525,,59,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,556,,76,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,661,,105,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,352,,41,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,702,,115,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,510,,87,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,52,,19,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,607,,127,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,373,,60,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,629,,116,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,580,,122,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,1015,,91,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,835,,119,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,852,,145,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,460,,74,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,530,,70,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,1333,,161,,,,from specific counts,,,,,,,
1000,HATE,,yes,,,745,,132,,,,from specific counts,,,,,,,
1000,EPMI,,yes,,,61,,51,,,,"from fully expanded branch that has fruit, no leaf loss",,,,,,,
1000,EPMI,,yes,,,46,,61,,,,"from fully expanded branch that has fruit, no leaf loss",,,,,,,
1000,EPMI,,yes,,,27,,30,,,,"from fully expanded branch that has fruit, no leaf loss",,,,,,,
1000,EPMI,,yes,,,34,,40,,,,"from fully expanded branch that has fruit, no leaf loss",,,,,,,
1000,EPMI,,yes,,,61,,46,,,,"from fully expanded branch that has fruit, no leaf loss",,,,,,,
1000,EPMI,,yes,,,46,,56,,,,"from fully expanded branch that has fruit, no leaf loss",,,,,,,
1000,EPMI,,yes,,,35,,46,,,,"from fully expanded branch that has fruit, no leaf loss",,,,,,,
1000,EPMI,,yes,,,31,,52,,,,"from fully expanded branch that has fruit, no leaf loss",,,,,,,
