species,age,age_exact,replicate,site,individual,shoot_diameter_start,shoot_diameter_end,shoot_length_start,growth_shoot_length,segment,shoot_leaf_count_start_length,shoot_leaf_count_start_count,lvs_end_length,lvs_end_count,shoot_leaf_count_growth_shoot_length,shoot_leaf_count_new_count,shoot_leaf_count_new_and_shed_count,mm_lvs_spec,count_lvs_spec,notes,dont_use
PHPH,5,5,402,Basin2007,PHPH_402,133,163,127,65,NA - bn 2&3,233,,140,,45,,,,,,
PHPH,5,5,403,Basin2007,PHPH_403,132,154,141,36,3,131,,75,,25,,,,,,
PHPH,5,5,404,Basin2007,PHPH_404,134,161,76,12,3,166,,96,,12,,,,,,
PHPH,5,5,405,Basin2007,PHPH_405,130,149,112,34,3,252,,145,7,34,,,,,,
PHPH,5,5,406,Basin2007,PHPH_406,71,114,30,80,NA - above highest cut,50,,30,,80,,,,,,
PHPH,5,5,407,Basin2007,PHPH_407,153,202,222,50,2,200,8,120,,50,,,,,,
PHPH,9,9,801,Waratah2003,PHPH_801,216,270,232,12,3,185,,105,,12,,,,,,
PHPH,9,9,802,Waratah2003,PHPH_802,114,144,80,77,2,130,,61,29,77,,,,,,
PHPH,9,9,803,Waratah2003,PHPH_803,101,135,90,104,4,195,,90,42,104,,,28,42,,
PHPH,9,9,804,Waratah2003,PHPH_804,160,249,82,123,3,82,,,50,120,,,,,,
PHPH,9,9,805,Waratah2003,PHPH_805,184,269,250,50,3,310,,200,3,50,,,,,,
PHPH,9,9,806,Waratah2003,PHPH_806,162,187,136,41,3,110,,90,,41,,,,,,
PHPH,9,9,807,Waratah2003,PHPH_807,197,209,160,65,4,190,,125,,65,,,,,,
PHPH,32,32,902,Basin1981,PHPH_902,142,186,176,42,3,100,,95,,42,,,,,,
PHPH,32,32,903,Basin1981,PHPH_903,126,147,110,15,3,200,,125,,15,,,,,,
PHPH,32,32,904,Basin1981,PHPH_904,125,147,95,45,NA - bn 3&4,135,33,135,23,45,,,,,,
PHPH,32,32,905,Basin1981,PHPH_905,182,261,335,148,4,230,9,132,,148,,,,,,
PHPH,32,32,906,Basin1981,PHPH_906,189,247,310,120,2,365,,290,,120,,,,,,
PHPH,32,32,907,Basin1981,PHPH_907,197,215,125,20,NA - bn 4&5,340,,60,30,20,,,,,,
PHPH,32,32,908,Basin1981,PHPH_908,180,195,147,31,NA - bn 2&3,15,37,15,14,31,,,,,,
PILI,7,7,1,Basin2005,PILI_001,130,137,132,28,NA - bn 2&3,,37,,1,,21,,,,17 mm nipped off end of main branch before new growth,
PILI,7,7,2,Basin2005,PILI_002,98,107,52,25,NA - bn 2&3,,46,,1,,24,,,,,
PILI,7,7,3,Basin2005,PILI_003,80,110,23,36,3,,36,,0,,28,,,,,
PILI,7,7,4,Basin2005,PILI_004,112,124,155,17,NA - side branch,,3,,0,,20,,,,,
PILI,7,7,5,Basin2005,PILI_005,78,90,28,12,NA - bn 2&3,,23,,8,,30,,,,,
PILI,7,7,6,Basin2005,PILI_006,95,120,95,15,NA - bn 2&3,,30,,0,,27,,,,52 mm nipped off end of main branch before new growth,
PILI,7,7,7,Basin2005,PILI_007,79,98,50,35,NA - bn 1&2,,22,,0,,33,,,,,
PILI,1.4,1.4,102,Waratah2011,PILI_102,28,82.67,34,33,1,,22,,0,,19,,,,,
PILI,1.4,1.4,105,Waratah2011,PILI_105,32,105,52,53,NA - side branch,,40,,24,,34,,,,,
PILI,1.4,1.4,107,Waratah2011,PILI_107,30,74,26,194,3,,8,,0,,74,,,,,
PILI,1.4,1.4,108,Waratah2011,PILI_108,34,66.33333333,34,150,1,,30,,0,,64,,,,,
PILI,1.4,1.4,109,Waratah2011,PILI_109,62,130,62,283,1,,46,,20,,104,,,,,
PILI,1.4,1.4,110,Waratah2011,PILI_110,39,71.33333333,52,69,1,,26,,5,,56,,,,,
PILI,1.4,1.4,111,Waratah2011,PILI_111,82,136,114,207,NA - bn 1&2,,52,,24,,67,,,,,
PILI,2.4,2.4,151,Waratah2011,PILI_151,77,160,245,205,1,,104,,8,,77,,,,main stalk nipped to 176 mm and then new growth,
PILI,2.4,2.4,152,Waratah2011,PILI_152,133,183,236,201,2,,67,,11,,96,,,,,
PILI,2.4,2.4,153,Waratah2011,PILI_153,89.3,134,91,5,1,,73,,6,,6,,,,,
PILI,2.4,2.4,154,Waratah2011,PILI_154,83,128,124,168,2,,79,,8,,52,,,,,
PILI,2.4,2.4,155,Waratah2011,PILI_155,67.3,185.67,195,63,1,,106,,0,,33,,,,main stalk nipped to 42 mm and then new growth,
PILI,2.4,2.4,161,Waratah2011,PILI_161,106.6666667,139.6666667,177,70,1,,84,,2,,30,,,,,
PILI,1.4,1.35,303,Wilunga2012,PILI_303,32,142,17,140,1,,14,,0,,72,,,,,
PILI,1.4,1.35,304,Wilunga2012,PILI_304,35,68,25,67,1,,16,,0,,42,,,,,
PILI,1.4,1.35,305,Wilunga2012,PILI_305,43,202,42,504,1,,23,,1,,105,25,,,,
PILI,1.4,1.35,306,Wilunga2012,PILI_306,48,196,37,388,1,,28,,0,,110,46,,,,
PILI,1.4,1.35,310,Wilunga2012,PILI_310,79,296,45,294,1,,38,,0,,84,,,,"haven't counted number shed, but 105 mm worth grown and mostly leaf free",
PILI,1.4,1.35,312,Wilunga2012,PILI_312,43,105,32,230,1,,24,,0,,76,,,,,
PILI,1.4,1.35,313,Wilunga2012,PILI_313,45,94,23,155,1,,16,,0,,74,6,,,,
PILI,1.4,1.35,316,Wilunga2012,PILI_316,40,87.67,18,204,1,,14,,0,,32,,,,"lots shed, but didn't count number; verify bag 3 has only 4 leaves",
PILI,5,5,401,Basin2007,PILI_401,96,128,82,50,2,,22,,0,,70,,,,,
PILI,5,5,402,Basin2007,PILI_402,64,95,57,40,3,129,5,,36,,32,,40,32,,
PILI,5,5,403,Basin2007,PILI_403,141,147.333,153,10,1,,28,,0,,16,,,,nipped back to length of 115 mm,
PILI,5,5,404,Basin2007,PILI_404,88,121,99,18,NA - bn 2&3,,34,,16,,20,,,,,
PILI,5,5,405,Basin2007,PILI_405,124,131,188,62,2,,8,,0,,37,,,,,
PILI,5,5,406,Basin2007,PILI_406,72,92,51,50,3,,53,,0,,28,,,,,
PILI,5,5,407,Basin2007,PILI_407,78,130,76,108,NA - bn 2&3,,64,,30,,76,,80,72,,
PILI,9,9,803,Waratah2003,PILI_803,57,80,42,8,2,,32,,10,,12,,,,,
PILI,9,9,804,Waratah2003,PILI_804,72.67,82,428,10,1,,18,,5,,13,,,,,
PILI,9,9,805,Waratah2003,PILI_805,95,114,199,14,NA - bn 1&2,,8,,0,,25,,,,,
PILI,32,32,901,Basin1981,PILI_901,103,110,140,20,2,,31,,0,,0,,,,dead,dead
PILI,32,32,902,Basin1981,PILI_902,84,100,198,84,NA - bn 2&3,,78,,16,,42,,,,,
PILI,32,32,903,Basin1981,PILI_903,67,82,90,52,2,,45,,16,,35,,,,,
PILI,32,32,904,Basin1981,PILI_904,61,61,92,0,NA - above highest cut,,47,,0,,0,,,,dead,dead
PILI,32,32,905,Basin1981,PILI_905,71,102,136,0,NA - above highest cut,,29,,0,,0,,,,dead,dead
PILI,32,32,906,Basin1981,PILI_906,32,43,34,9,NA - above highest cut,,20,,0,,0,,,,dead,dead
PILI,32,32,907,Basin1981,PILI_907,84,119,153,15,,,24,,0,,0,,,,dead,dead
PUTU,7,7,1,Basin2005,PUTU_001,102,226,172,125,2,267,,102,,125,,,,,,
PUTU,7,7,2,Basin2005,PUTU_002,164,187,163,58,2,128,,,5,30,,,,,,
PUTU,7,7,3,Basin2005,PUTU_003,261,297,420,47,2,320,,160,,47,,,,,,
PUTU,7,7,4,Basin2005,PUTU_004,116,137,123,67,3,173,,63,,67,,,,,,
PUTU,7,7,5,Basin2005,PUTU_005,84,124,32,45,3,142,12,85,,45,,,,,,
PUTU,7,7,6,Basin2005,PUTU_006,110,129,123,52,2,50,28,50,20,52,,,,,,
PUTU,7,7,7,Basin2005,PUTU_007,133,141,98,28,3,92,4,67,,28,,,,,,
PUTU,1.4,1.4,101,Waratah2011,PUTU_101,114,226,116,245,2,116,,,20,245,,,,,,
PUTU,1.4,1.4,102,Waratah2011,PUTU_102,93,131,70,87,1.2,70,,0,,87,,,,,,
PUTU,1.4,1.4,103,Waratah2011,PUTU_103,48,140.6666667,27,113,1,27,,0,,90,,,,,,
PUTU,1.4,1.4,105,Waratah2011,PUTU_105,91,220,78,227,2,78,,18,,227,,,,,,
PUTU,1.4,1.4,106,Waratah2011,PUTU_106,139,217,103,115,2,103,,27,18,115,,,,,,
PUTU,1.4,1.4,107,Waratah2011,PUTU_107,73,213,27,195,2,27,,0,,139,18,,,,,
PUTU,1.4,1.4,108,Waratah2011,PUTU_108,,,,,,,,,,,,,,,,dont_use
PUTU,1.4,1.4,109,Waratah2011,PUTU_109,71,148.3333333,57,158,1,50,,12,,158,,,,,,
PUTU,2.4,2.4,151,Waratah2011,PUTU_151,115,177,102,85,2,162,,70,16,85,,,,,,
PUTU,2.4,2.4,152,Waratah2011,PUTU_152,186,258,233,104,2,203,3,,17,96,,,,,stems nipped back 65 mm at tip.,
PUTU,2.4,2.4,153,Waratah2011,PUTU_153,190,297,303,175,2,225,,95,,175,,,,,,
PUTU,2.4,2.4,154,Waratah2011,PUTU_154,123,142,142,105,3,272,,200,20,105,,,,,,
PUTU,2.4,2.4,155,Waratah2011,PUTU_155,177,261.6666667,288,278,1,248,,120,,163,,,,,,
PUTU,2.4,2.4,156,Waratah2011,PUTU_156,172,207,270,141,2,235,,165,,141,,,,,,
PUTU,2.4,2.4,157,Waratah2011,PUTU_157,142,202,145,230,2,205,,50,,180,,,,,,
PUTU,1.4,1.35,301,Wilunga2012,PUTU_301,80.67,191.67,60,191,1,55,,0,,155,,,,,,
PUTU,1.4,1.35,302,Wilunga2012,PUTU_302,69.5,194,22,135,1,,17,,1,130,,,,,,
PUTU,1.4,1.35,303,Wilunga2012,PUTU_303,89.67,416,60,278,1,58,,0,,247,,,,,,
PUTU,1.4,1.35,304,Wilunga2012,PUTU_304,169.67,411.67,63,102,1,63,,0,,30,,72,,,,
PUTU,1.4,1.35,305,Wilunga2012,PUTU_305,113,212,77,167,1,70,,,7,129,,47,,,,
PUTU,1.4,1.35,307,Wilunga2012,PUTU_307,80,458,52,333,1,52,,0,,210,23,100,,,,
PUTU,1.4,1.35,308,Wilunga2012,PUTU_308,64.33,252.33,15,215,1,13,,0,,120,,95,,,,
PUTU,1.4,1.35,309,Wilunga2012,PUTU_309,64,155.667,18,106,1,13,,0,,67,,39,,,,
PUTU,5,5,401,Basin2007,PUTU_401,140,150,129,57,NA - bn 1&2,94,8,20,6,47,,,,,,
PUTU,5,5,402,Basin2007,PUTU_402,108,156,86,40,2,146,,45,5,40,,,,,,
PUTU,5,5,403,Basin2007,PUTU_403,92,170,93,100,3,168,,73,1,100,,,,,,
PUTU,5,5,404,Basin2007,PUTU_404,83,116,65,78,3,65,2,32,,78,,,,,,
PUTU,5,5,405,Basin2007,PUTU_405,133,164,120,90,3,105,,70,,90,,,,,,
PUTU,5,5,406,Basin2007,PUTU_406,88,115,57,60,3,95,,20,,60,,,,,,
PUTU,5,5,407,Basin2007,PUTU_407,93,149,82,94,3,144,7,56,,94,,,,,,
PUTU,9,9,801,Waratah2003,PUTU_801,164,211,225,110,3,225,,80,,95,,,,,,
PUTU,9,9,802,Waratah2003,PUTU_802,128,158,161,52,2,63,,15,,47,,,,,,
PUTU,9,9,803,Waratah2003,PUTU_803,92,119,90,25,3,60,,5,,25,,,,,,
PUTU,9,9,804,Waratah2003,PUTU_804,108,131,83,32,4,60,8,18,,32,,,,,,
PUTU,9,9,805,Waratah2003,PUTU_805,108,121,77,35,4,57,,20,,35,,,,,,
PUTU,9,9,806,Waratah2003,PUTU_806,128,133,124,61,4,214,,79,,61,,,,,,
PUTU,9,9,807,Waratah2003,PUTU_807,104,141,126,55,4,181,,50,2,55,,,,,,
PUTU,32,32,902,Basin1981,PUTU_902,194,213,325,40,NA - bn 3&4,165,,50,12,40,,,,,,
PUTU,32,32,903,Basin1981,PUTU_903,152,188,125,59,3,115,18,15,,59,,,,,,
PUTU,32,32,905,Basin1981,PUTU_905,162,185,385,40,3,135,,30,,40,,,,,,
PUTU,32,32,906,Basin1981,PUTU_906,128,143,178,52,3,150,,40,,52,,,,,,
PUTU,32,32,907,Basin1981,PUTU_907,83,86,32,12,NA - side branch,20,,,6,12,,,,,,
PUTU,32,32,908,Basin1981,PUTU_908,80,100,61,11,NA - side branch,86,,24,,11,,,,,"wish it were possible to average LL across multiple shoots, ecause quite different",
PELA,1.4,1.35,330,Wilunga2012,PELA_330,105,196,38,65,1,,9,,5,,5,,,,,
PELA,1.4,1.35,334,Wilunga2012,PELA_334,75,192.5,37,24,1,,10,,7,,5,,,,,
COER,1.4,1.35,320,Wilunga2012,COER_320,85,175,19,275,1,,17,,10,275,,,,,,
COER,1.4,1.35,332,Wilunga2012,COER_332,90,119.5,12,108,1,,10,,9,94,10,,,,,
COER,1.4,1.35,334,Wilunga2012,COER_334,43,99,12,4,1,,9,,5,,14,,,,,
COER,1.4,1.35,325,Wilunga2012,COER_325,59,116,13,83,1,,9,,9,83,4,,,,,
COER,1.4,1.35,337,Wilunga2012,COER_337,77,111.5,23,89,1,,10,,5,78,6,,,,,
