sample_rep1,sample_rep2,approx_dry_weight_mg_rep1,approx_dry_weight_mg_rep2,species,site,age,individual_rep1,individual_rep2,tissue_complete,tissue_simple,tissue,parts_to_match,live_dead,rep2_replicate,no_sample,CN_analysis_date,Pmicro_analysis_date,Al,B,Ca,Cu,Fe,K,Mg ,Mn,Na,P,S,Zn,C,N,notes,with_bark_diam_mm,diameter_temp,without_bark_diam_mm,length_mm,segment,total_leaf_weight_mg,total_segment_weight_mg,total_segment_length_mm,plant_height_mm,height_of_leaf_cover_mm,diameter_leaf_cover_mm_WITH_BARK,,
MQ_181_wood_from_tip,,144,,BOLE,Basin2005,7,BOLE_00X,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,13.264,7.055,2378.456,4.936,14.628,3244.633,909.355,23.014,870.123,87.028,939.471,24.859,45.49,0.1112,,".87;.83,.80;.77,1.17;1.20,1.20;1.20",0.67,".67;.64,.50;.46,.88;.83,.88;.90","0,25,86,95",,,,,,,,,
MQ_182_bark,MQ_1182_bark,130,456.9,BOLE,Basin2005,7,BOLE_006,BOLE_00W,bark,bark,bark,bark,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,218.603,23.805,5437.119,3.986,213.513,2027.722,2013.666,59.485,512.866,61.156,879.717,19.219,44.43,0.5767,,,,,,,,,,,,,,x
MQ_183_shed_bark,,154.8,,BOLE,Basin2005,7,BOLE_00X,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,64.112,19.778,4687.346,3.86,112.176,314.947,1869.018,60.835,421.855,43.914,738.652,3.394,44.29,0.4207,,,,,,,,,,,,,,x
MQ_184_shed_sapwood,,260.4,,BOLE,Basin2005,7,BOLE_00X,,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,,use,2016_March,2016_March,0.412,15.345,1031.442,1.209,10.917,59.806,451.214,16.374,105.236,14.851,373.166,1.706,44.6,0.1422,,,1.36,1.36;1.45;1.44;1.55;1.45,,,,,,,,,,x
MQ_185_wood_from_base,,261.3,,BOLE,Basin2005,7,BOLE_006,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,0.218,3.529,2260.188,1.589,4.546,2841.09,1056.361,37.314,743.202,23.426,856.319,74.533,45.72,0.0332,,3.33;3.5,2.77,2.77;2.57,49,base 1,,,,,,,,
MQ_186_wood_from_middle,,116.5,,BOLE,Basin2005,7,BOLE_006,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,insufficient_sample_for_CN,,2016_March,3.25,24.911,4772.124,1.66,17.043,6242.017,3597.856,111.518,2301.281,165.451,736.212,16.625,,,,1.63;1.53,1.26,1.26;1.31,87,base 2,,,,,,,,
MQ_187_wood_from_tip,,131.6,,BOLE,Basin2005,7,BOLE_00Y,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,2.192,1.612,1891.917,3.493,14.725,3043.815,1485.461,34.093,968.005,87.103,862.366,27.54,45.61,0.1252,,"1;.85,1.31;1.37,.62;.63,.73;.69,.65;.61,.88;.89,.92;.86,1.06;1.09,1.11;1.12",0.62,".62;.76,1.06;1.07,.43;.37,,.65;.62,.42;.38,.45;.43,.75;.69,.84;.80,.92;.88",,,,,,,,,small sections of stem below leaves - because leaves on such short shoots,
MQ_188_bark,,131.1,,BOLE,Basin2005,7,BOLE_008,,bark,bark,bark,bark,live,,use,2016_March,2016_March,386.807,9.98,4715.15,4.811,322.278,1718.902,2403.754,71.318,591.795,74.946,1087.613,25.262,44.28,0.4732,,,,,,,,,,,,,,x
MQ_189_shed_bark,MQ_1189_shed_bark,100,160.1,BOLE,Basin2005,7,BOLE_008,BOLE_00T,shed_bark,shed_bark,bark,bark,dead,rep_5,insufficient_sample_for_CN,2016_Oct,2016_March,82.99,31.796,5793.152,4.924,183.814,771.834,3099.375,96.873,472.213,64.707,1087.104,87.493,44.88,0.6311,,,,,,,,,,,,,,x
MQ_190_shed_sapwood,MQ_1190_shed_sapwood,120.7,261.7,BOLE,Basin2005,7,BOLE_008,BOLE_00T,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,rep_5,insufficient_sample_for_CN,2016_Oct,2016_March,2.12,14.022,1138.354,1.371,14.5,229.356,803.019,23.078,149.025,7.222,422.449,21.674,44,0.2955,,,1.06,"1.06;1.05,.84;.80",255,,,,,,,,,x
MQ_191_wood_from_base,,516.5,,BOLE,Basin2005,7,BOLE_008,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,1.249,3.077,1163.752,1.141,19.663,609.378,749.108,35.688,378.477,18.223,390.912,28.901,45.35,0.0301,,4.94;5.4,4.56,4.56;5.00,29,base 1,,,,,,,,
MQ_192_wood_from_middle,,166.6,,BOLE,Basin2005,7,BOLE_008,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,5.443,7.861,1924.02,1.514,10.634,3269.926,1748.853,57.508,775.358,75.864,641.796,21.699,44.18,0.1821,,2.43;2.40,2.12,2.12;2.17,50,base 2,,,,,,,,
MQ_193_wood_from_tip,MQ_1193_wood_from_tip,123.8,390.7,BOLE,Basin2005,7,BOLE_00Z,BOLE_00W,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,11.499,11.06,2453.667,3.512,25.517,3623.8,1181.074,33.745,989.943,72.569,927.032,6.906,43.52,0.3513,,1.26;1.36,1.09,1.09;1.14,"88,100,99",,,,,,,,,
MQ_194_bark,,127.7,,BOLE,Waratah2003,9,BOLE_80X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,127.789,9.095,4476.544,5.398,228.05,3385.303,2536.981,54.835,690.09,222.78,932.937,31.171,44.66,0.9332,,,,,,,,,,,,,,
MQ_195_shed_bark,MQ_1195_shed_bark,126.6,199.1,BOLE,Waratah2003,9,BOLE_80X,BOLE_80T,shed_bark,shed_bark,bark,bark,dead,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,97.172,39.456,5334.601,6.443,165.364,535.21,2766.064,67.449,252.87,45.413,885.05,5.081,45.18,0.4063,,,,,,,,,,,,,,
MQ_196_shed_sapwood,MQ_1196_shed_sapwood,124.1,374.4,BOLE,Waratah2003,9,BOLE_80X,BOLE_80T,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,10.566,10.147,712.316,1.194,14.332,63.875,675.258,12.291,86.765,1.785,250.41,3.021,43.2,0.277,,,1.57,1.57;1.55,,,,,,,,,,
MQ_197_wood_from_base,,199.2,,BOLE,Waratah2003,9,BOLE_801,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,5.064,14.024,871.795,0.952,4.241,977.267,1854.004,12.918,1413.091,74.659,666.939,1.932,43.7,0.2555,,2.62;2.47,2.22,2.22;2.09,45,base 1,,,,,,,,
MQ_198_wood_from_middle,,115,,BOLE,Waratah2003,9,BOLE_801,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,insufficient_sample_for_CN,,2016_March,2.688,11.519,1034.292,1.659,14.827,1843.105,2153.436,15.366,823.427,38.165,682.271,1.922,,,,1.64;1.65,1.41,1.41;1.42,109,base 2,,,,,,,,
MQ_199_wood_from_tip,,119,,BOLE,Waratah2003,9,BOLE_80X,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,3.562,0.546,1552.388,3.074,15.103,2150.2,1062.139,21.83,484.591,119.363,546.411,1.156,43.05,0.2983,,".69;.78,1.33;1.37;1;.98,.99;.9",0.53,".53;.48,1.00;1.05,.76;.74,.66;.66",,,,,,,"238,62",1.77;.78,,
MQ_200_bark,MQ_1200_bark,120.6,423,BOLE,Waratah2003,9,BOLE_803,BOLE_80W,bark,bark,bark,bark,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,530.513,12.258,4512.707,3.38,544.117,913.165,4071.131,37.305,728.175,28.684,1227.78,4.057,44.54,0.5131,,,,,,,,,,,,,,x
MQ_201_shed_bark,,198,,BOLE,Waratah2003,9,BOLE_80Y,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,56.091,17.966,6525.858,3.965,100.933,298.867,2761.496,60.927,382.172,29.161,939.345,36.113,44.25,0.5843,,,,,,,,,,,,,,x
MQ_202_shed_sapwood,,181.7,,BOLE,Waratah2003,9,BOLE_80Y,,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,,use,2016_March,2016_March,0.543,11.141,1505.359,1.669,6.374,76.987,871.147,18.724,137.668,3.589,567.504,22.398,43.6,0.3688,,,0.65,".65;.75,.88;.90",,,,,,,,,,x
MQ_203_wood_from_base,,225.9,,BOLE,Waratah2003,9,BOLE_802,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,12.314,6.499,1084.089,1.373,5.746,841.546,1588.541,17.869,847.128,61.639,564.526,1.17,43.21,0.2281,,3.38;3.24,2.64,2.64;2.76,36,base 1,,,,,,,,
MQ_204_wood_from_middle,,101.2,,BOLE,Waratah2003,9,BOLE_802,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,insufficient_sample_for_CN,,2016_March,2.153,12.626,862.651,1.814,7.148,840.72,1419.201,10.195,424.256,10.823,499.645,1.767,,,,1.44;1.39,1.32,1.32;1.22,110,base 2,,,,,,,,
MQ_205_wood_from_tip,MQ_1205_wood_from_tip,104.7,356.9,BOLE,Waratah2003,9,BOLE_80Y,BOLE_80W,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,7.475,6.729,1639.932,5.369,19.432,3276.75,1320.536,28.629,1254.444,99.738,832.122,1.618,43.48,0.2632,,".69;.78,1.33;1.37;1;.98,.99;.9",0.53,".53;.48,1.00;1.05,.76;.74,.66;.66",,,,,,,,,using site average for diameter,
MQ_206_bark,,135.4,,BOLE,Waratah2003,9,BOLE_807,,bark,bark,bark,bark,live,,use,2016_March,2016_March,147.332,17.746,4885.065,4.166,261.023,934.16,3465.876,35.996,471.612,47.094,1048.445,14.924,44.31,0.8524,,,,,,base 1,,,,,,,,x
MQ_207_shed_bark,,229.4,,BOLE,Waratah2003,9,BOLE_80Z,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,82.084,10.516,6526.577,4.813,147.321,347.124,2104.659,90.456,162.269,68.281,1088.322,24.828,44.08,0.6251,,,,,,,,,,,,,,x
MQ_208_shed_sapwood,,203.3,,BOLE,Waratah2003,9,BOLE_80Z,,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,,use,2016_March,2016_March,32.293,40.45,1158.401,1.096,9.957,561.94,543.14,14.508,156.981,9.401,475.292,9.13,44.12,0.3415,,,".84,",".84,.63,.72",,,,,,,,,,x
MQ_209_wood_from_base,,150.3,,BOLE,Waratah2003,9,BOLE_807,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,2.782,6.589,1324.653,0.788,5.16,293.528,2023.156,14.595,411.026,9.078,463.071,1.166,44.58,0.2418,,2.24;2.22,1.77,1.77;1.84,55,base 1,,,,,,,,
MQ_210_wood_from_middle,,102.4,,BOLE,Waratah2003,9,BOLE_807,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,3.405,24.55,2266.054,1.359,14.928,744.569,3068.228,24.304,486.455,5.947,692.404,0.669,43.02,0.3121,,1.26;1.21,1.07,1.07;1.07,145,base 2,,,,,,,,
MQ_211_wood_from_tip,MQ_1211_wood_from_tip,121.1,223.6,BOLE,Waratah2003,9,BOLE_80Z,BOLE_80V,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_5,insufficient_sample_for_CN,2016_Oct,2016_March,1.901,1.424,1476.674,2.659,16.986,1772.802,866.707,20.265,728.361,65.505,480.893,1.59,43.49,0.2604,,".69;.78,1.33;1.37;1;.98,.99;.9",0.53,".53;.48,1.00;1.05,.76;.74,.66;.66",,,,,,,,,using site average for diameter,
MQ_212_bark,,213.9,,COER,Wilunga2012,1.4,COER_30X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,423.635,9.41,2441.663,3.383,404.542,1446.869,3063.669,37.298,2221.436,169.739,1034.526,142.2,48,0.6007,,,,,,,,,,,,,,
MQ_213_wood_from_base,,189.1,,COER,Wilunga2012,1.4,COER_30A,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,24.532,0.565,406.596,4.476,31.209,632.166,424.614,4.09,120.693,108.055,408.66,4.068,43.63,0.3306,,4.42;4.40,3.57,3.57;3.45,31,1,358.3,849.1,144,617,10,3.91;3.84,,
MQ_214_wood_from_tip,,142.7,,COER,Wilunga2012,1.4,COER_30A,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,8.992,1.392,443.066,3.871,14.017,534.731,449.612,7.784,974.079,29.822,559.122,1.5,44.2,0.3322,,2.20;2.28,1.88,1.88;1.83,,3,802.9,566.1,295,,,,,
MQ_215_bark,,179.7,,COER,Waratah2011,2.4,COER_15A,,bark,bark,bark,bark,live,,use,2016_March,2016_March,175.079,0.949,2478.099,4.254,207.713,3623.164,1707.782,228.867,2358.849,230.411,883.041,164.887,47.58,0.5763,,,,,,,,,,,,,,
MQ_216_wood_from_base,,257.8,,COER,Waratah2011,2.4,COER_15A,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,6.863,1.256,436.135,2.956,31.339,1181.926,428.605,9.164,138.335,26.447,276.32,11.203,44.2,0.3472,,5.26;5.29,4.03,4.03;4.17,30,1,364.3,1192,162,472,13,5.26,,
MQ_217_wood_from_middle,,187.6,,COER,Waratah2011,2.4,COER_15A,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,14.137,11.147,382.747,3.167,7.78,754.495,335.682,16.593,315.758,24.926,258.336,13.49,42.99,0.3856,,2.94;3.08,2.54,2.54;2.50,48,2,988,810.9,119,,,,,
MQ_218_wood_from_tip,MQ_1218_wood_from_tip,121.5,414,COER,Waratah2011,2.4,COER_15A,COER_00W,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,9.124,9.292,521.597,9.292,22.798,544.911,357.733,53.366,740.148,25.826,345.04,28.707,43.46,0.2165,,1.90;1.84,1.57,1.57;1.62,90,3,426.3,276.5,199,,,,,
MQ_219_bark,,159.7,,COER,Basin2005,7,COER_00X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,96.49,13.851,4163.878,57.589,87.013,1232.615,2656.814,43.985,562.626,38.304,695.236,93.369,48.35,0.6271,,,,,,,,,,,,,,
MQ_220_wood_from_base,,167.4,,COER,Basin2005,7,COER_003,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,18.917,22.207,466.148,1.444,13.263,1010.892,765.33,11.666,426.631,24.605,324.709,18.59,44.28,0.2863,,3.00;2.72,2.29,2.29;2.42,40,61mm above base 1,,,,,,,,
MQ_221_wood_from_middle,,134.6,,COER,Basin2005,7,COER_003,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,82.837,26.222,820.773,3.391,16.736,1318.618,1898.429,24.181,810.646,63.115,430.165,28.012,43.11,0.367,,2.03;2.09,1.78,1.78;1.71,65,base 2,,,,,,,,
MQ_222_wood_from_tip,MQ_1222_wood_from_tip,119.6,287.5,COER,Basin2005,7,COER_00X,COER_00X,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_2,insufficient_sample_for_CN,2016_Oct,2016_March,18.209,8.215,915.22,5.674,11.296,1248.042,1291.903,22.317,454.176,52.388,447.73,1.181,43.62,0.1383,,".85;.84,1.84;1.75",0.73,".73;.75,1.67;1.46",,,,,,,,,"second set numbers is sample, not all of it was leaf covered",
MQ_223_bark,,181.2,,COER,Waratah2003,9,COER_80X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,61.349,37.324,2065.4,5.368,97.248,301.849,1762.228,12.71,1316.684,51.781,781.945,4.466,48.22,0.6284,,,,,,,,,,,,,,
MQ_224_shed_bark,,151,,COER,Waratah2003,9,COER_80X,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,215.563,31.946,4273.902,38.585,206.555,1312.224,2048.775,45.826,659.669,65.075,846.036,183.424,46.85,0.5247,,,,,,,,,,,,,,
MQ_225_shed_sapwood,,145,,COER,Waratah2003,9,COER_80X,,shed_sapwood,shed_sapwood,sapwood,sapwood,dead,,use,2016_March,2016_March,75.112,22.125,923.579,1.878,15.871,963.303,1428.497,10.086,814.979,15.925,564.92,118.262,45.39,0.4147,,,1.79,"1.79;1.48,.96;1.06","46,67",,,,,,,,,
MQ_226_wood_from_base,,275.4,,COER,Waratah2003,9,COER_801,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,87.139,22.909,872.197,0.806,35.938,1329.087,1497.402,8.861,1397.063,70.356,813.683,53.927,44.38,0.2671,,5.02;5.30,4.54,4.54;4.36,19,base 1,,,,,,,,
MQ_227_wood_from_middle,,109.4,,COER,Waratah2003,9,COER_801,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,insufficient_sample_for_CN,,2016_March,48.14,28.682,629.762,5.383,14.158,888.167,1501.833,3.593,768.666,57.51,652.189,80.95,,,,1.74;1.68,1.50,1.50;1.57,72,base 3,,,,,,,,
MQ_228_wood_from_tip,,162.8,,COER,Waratah2003,9,COER_80X,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,25.231,8.075,739.302,15.508,21.303,984.387,1072.153,8.537,994.878,181.217,426.077,16.464,43.69,0.3411,,".81;.92,.96,1.27;1.30,.95;1.02,1.19;1.19",0.70,".70;.72,.59,1.05;1.09,.91;.89",,,,,,,140;160;115,1.65;2.01;1.46,,
MQ_229_bark,,132.3,,EPMI,Wilunga2012,1.4,EPMI_30X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,343.707,4.685,13808.476,6.611,472.708,3988.413,1659.773,2485.917,211.329,150.511,1753.361,7.613,44.76,0.7932,,,,,,,,,,,,,,
MQ_230_wood_from_base,,139.3,,EPMI,Wilunga2012,1.4,EPMI_30A,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,20.84,28.513,865.526,2.203,14.878,1060.176,381.407,259.396,103.66,13.923,440.527,1.048,43.16,0.4774,,2.15;2.05,1.77,1.77;1.80,94,1,73.4,186.2,94,425,50,1.84;1.89,,
MQ_231_wood_from_tip,,115.9,,EPMI,Wilunga2012,1.4,EPMI_30A,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,0.358,1.233,2508.409,3.501,10.978,1971.225,835.072,139.8,54.097,49.262,818.261,1.245,44.31,0.3562,,1.37;1.33,1.13,1.13;1.08,,3,209.7,145.4,229,,,,,
MQ_232_bark,MQ_1232_bark,100.3,176.2,EPMI,Wilunga2012,1.4,EPMI_30B,EPMI_30W,bark,bark,bark,bark,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,241.11,21.866,16049.139,7.024,285.537,3534.581,1250.362,1149.072,283.771,145.84,1123.342,19.323,45.59,0.4532,,,,,,,,,,,,,,x
MQ_233_wood_from_base,,107.9,,EPMI,Wilunga2012,1.4,EPMI_30B,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,insufficient_sample_for_CN,,2016_March,34.448,17.233,1698.014,2.479,14.094,1843.441,330.802,245.808,104.845,41.179,484.031,23.239,,,,1.40;1.49,1.32,1.32;1.19,118,1,66.6,156.4,130,365,50,1.4,,
MQ_234_wood_from_tip,MQ_1234_wood_from_tip,118.1,205.4,EPMI,Wilunga2012,1.4,EPMI_30B,EPMI_30V,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_5,insufficient_sample_for_CN,2016_Oct,2016_March,1.299,9.36,3840.078,6.056,10.74,2797.263,777.606,124.057,105.063,85.838,732.878,1.671,44.23,0.3073,,1.13;1.33,0.81,.81;.88,93,3,58.1,95,93,,,,,
MQ_235_bark,,151.8,,EPMI,Wilunga2012,1.4,EPMI_30C,,bark,bark,bark,bark,live,,use,2016_March,2016_March,487.605,17.338,11637.975,5.446,524.108,4633.054,1628.587,686.124,205.171,139.655,1338.523,4.241,45.16,0.8125,,,,,,,,,,,,,,x
MQ_236_wood_from_base,,125,,EPMI,Wilunga2012,1.4,EPMI_30C,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,insufficient_sample_for_CN,,2016_March,1.626,1.569,832.68,2.205,9.265,2199.159,604.971,76.404,45.063,40.951,476.852,1.775,,,,2.45;2.49,2.23,2.23;2.19,48,1,17,274.9,93,317,90,1.79,,
MQ_237_wood_from_tip,MQ_1237_wood_from_tip,114,242.7,EPMI,Wilunga2012,1.4,EPMI_30C,EPMI_30W,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,27.887,5.453,2150.01,3.545,15.599,2803.725,679.641,70.613,59.192,46.555,694.951,22.788,44.48,0.254,,1.25;1.9,1.08,1.08;1.08,140,3,151.2,126.3,140,,,,,
MQ_240_bark,,125.8,,EPMI,Waratah2011,2.4,EPMI_15A,,bark,bark,bark,bark,live,,use,2016_March,2016_March,451.599,32.512,22249.793,6.517,520.088,4177.14,855,2354.693,318.047,152.98,1515.508,36.317,45.09,0.9638,,,,,,,,,,,,,,
MQ_241_wood_from_base,,141.2,,EPMI,Waratah2011,2.4,EPMI_15A,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,27.092,25.749,976.771,1.551,27.129,2154.762,200.743,453.949,169.557,54.482,382.518,19.884,44.68,0.2493,,2.58;2.65,2.24,2.24;2.27,53,1,255.1,843.5,160,483,200,1.62,,
MQ_242_wood_from_middle,,126.8,,EPMI,Waratah2011,2.4,EPMI_15A,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,27.553,22.968,698.606,1.852,30.201,2881.908,183.949,159.051,213.271,63.009,395.624,18.181,44.38,0.2415,,1.67;1.80,1.50,1.50;1.56,92,2,195.6,344.2,90,,,,,
MQ_243_wood_from_tip,MQ_1243_wood_from_tip,110.6,242.2,EPMI,Waratah2011,2.4,EPMI_15A,EPMI_15W,wood_from_tip,wood_from_tip,sapwood,sapwood,live,rep_4,insufficient_sample_for_CN,2016_Oct,2016_March,22.721,54.946,1076.4,2.701,33.626,3144.286,337.816,118.509,514.164,79.364,552.263,5.073,43.96,0.2186,,1.39;1.36,1.17,1.17;1.17,205,3,163,176.5,210,,,,,
MQ_244_bark,,178,,EPMI,Waratah2011,2.4,EPMI_15B,,bark,bark,bark,bark,live,,use,2016_March,2016_March,83.118,21.785,4900.425,5.099,125.624,3067.572,768.093,1493.478,422.638,101.162,777.482,7.618,44.76,1.029,,,,,,,,,,,,,,x
MQ_245_wood_from_base,,219.9,,EPMI,Waratah2011,2.4,EPMI_15B,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,30.586,21.978,1921.391,1.71,24.276,1686.691,246.541,508.048,266.087,53.936,429.545,18.403,44.38,0.2711,,2.65;2.41,2.44,2.44;2.09,85,1,262.2,823.6,248,554,237,1.86,,
MQ_246_wood_from_middle,,139.7,,EPMI,Waratah2011,2.4,EPMI_15B,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,16.423,28.24,690.579,2.012,24.495,2625.397,262.659,117.368,237.608,55.849,349.351,9.914,44.21,0.2382,,1.68;1.58,1.37,1.37;1.33,128,2,110.9,194.4,127,,,,,
MQ_247_wood_from_tip,,161,,EPMI,Waratah2011,2.4,EPMI_15B,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,15.226,15.235,1370.725,5.261,28.053,3800.725,444.632,130.701,318.7,78.6,565.392,15.673,44.03,0.3158,,1.46;1.48,1.16,1.16;1.13,169,3,239.4,179.8,187,,,,,
MQ_250_bark,,182.2,,EPMI,Waratah2011,2.4,EPMI_15C,,bark,bark,bark,bark,live,,use,2016_March,2016_March,128.796,24.179,6037.814,5.139,213.361,5539.038,555.946,1253.146,760.273,159.219,1026.869,15.295,44.87,1.018,,,,,,,,,,,,,,x
MQ_251_wood_from_base,,205.7,,EPMI,Waratah2011,2.4,EPMI_15C,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,94.537,26.477,654.329,3.358,30.387,1780.536,181.15,163.326,198.318,45.57,433.663,28.06,44.69,0.2605,,2.78;2.73,2.35,2.35;2.40,63,1,392.8,986.4,222,547,222,1.68,,
MQ_252_wood_from_middle,,136.8,,EPMI,Waratah2011,2.4,EPMI_15C,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,59.66,26.582,700.867,3.489,30.544,2833.267,207.315,81.523,284.278,61.367,576.372,23.778,44.83,0.223,,1.63;1.68,1.49,1.49;1.41,158,2,252,279.8,225,,,,,
MQ_253_wood_from_tip,,163.8,,EPMI,Waratah2011,2.4,EPMI_15C,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,28.747,47.506,3183.141,7.112,28.282,3223.867,615.048,139.28,589.972,133.455,690.977,10.524,44.17,0.2961,,1.2;1.2;1;1,0.95,".95;.90,.77;.71",114,3,110.4,65.5,114,,,,using approximate diameters,
MQ_254_bark,,121.1,,EPMI,Basin2005,7,EPMI_00X,,bark,bark,bark,bark,live,,use,2016_March,2016_March,172.193,31.228,5317.91,135.028,252.927,1105.002,581.135,1310.592,376.919,63.427,845.786,80.82,45.91,0.5895,,,,,,,,,,,,,,
MQ_255_wood_from_base,,273.9,,EPMI,Basin2005,7,EPMI_00A,,wood_from_base,wood_from_base,wood_from_base,wood_from_base,mixed,,use,2016_March,2016_March,28.435,19.756,1116.23,1.167,25.597,1418.62,159.703,698.052,116.07,40.645,359.109,17.376,44.64,0.1407,,3.20;4.00,2.87,2.87;3.72,45,1,1448.2,210.4,240,767,240,2.40;2.60,,
MQ_256_wood_from_middle,,254.6,,EPMI,Basin2005,7,EPMI_00A,,wood_from_middle,wood_from_middle,wood_from_middle,wood_from_middle,mixed,,use,2016_March,2016_March,14.822,37.23,1177.468,1.81,16.413,2090.672,158.468,399.008,233.322,40.266,449.1,9.068,43.55,0.1963,,2.41;2.60,2.22,2.22;2.31,83,2,914.5,1550.4,371,,,,,
MQ_257_wood_from_tip,,129,,EPMI,Basin2005,7,EPMI_00X,,wood_from_tip,wood_from_tip,sapwood,sapwood,live,,use,2016_March,2016_March,27.022,83.707,1747.593,3.712,36.227,2640.648,379.898,196.801,537.127,88.336,575.994,17.67,44.32,0.2635,,1.25;1.14,0.93,.93;.93,,3,149.3,117.3,153,,,,,
MQ_258_shed_bark,,178.1,,EPMI,Basin2005,7,EPMI_00X,,shed_bark,shed_bark,bark,bark,dead,,use,2016_March,2016_March,274.238,28.953,6199.123,8.218,489.301,632.57,526.48,992.352,214.03,60.844,1365.364,20.929,44.78,0.8652,,,,,,,,,,,,,only EPMI 004 had shed tissue collected; EPMI 007 has dead and missing branch,
